,0
0,Best Concert Ever
1,Enjoyed
2,Enjoyed
3,Did Not Enjoy
4,Did Not Enjoy
5,Did Not Enjoy
6,Enjoyed
7,Enjoyed
8,Did Not Enjoy
9,Enjoyed
10,Worst Concert Ever
11,Enjoyed
12,Worst Concert Ever
13,Did Not Enjoy
14,Did Not Enjoy
15,Enjoyed
16,Did Not Enjoy
17,Enjoyed
18,Best Concert Ever
19,Enjoyed
20,Did Not Enjoy
21,Did Not Enjoy
22,Enjoyed
23,Enjoyed
24,Enjoyed
25,Enjoyed
26,Did Not Enjoy
27,Best Concert Ever
28,Enjoyed
29,Did Not Enjoy
30,Did Not Enjoy
31,Did Not Enjoy
32,Enjoyed
33,Did Not Enjoy
34,Did Not Enjoy
35,Enjoyed
36,Enjoyed
37,Enjoyed
38,Enjoyed
39,Enjoyed
40,Did Not Enjoy
41,Did Not Enjoy
42,Did Not Enjoy
43,Best Concert Ever
44,Did Not Enjoy
45,Did Not Enjoy
46,Enjoyed
47,Enjoyed
48,Best Concert Ever
49,Enjoyed
50,Did Not Enjoy
51,Enjoyed
52,Did Not Enjoy
53,Did Not Enjoy
54,Enjoyed
55,Worst Concert Ever
56,Enjoyed
57,Did Not Enjoy
58,Worst Concert Ever
59,Enjoyed
60,Enjoyed
61,Enjoyed
62,Enjoyed
63,Enjoyed
64,Enjoyed
65,Did Not Enjoy
66,Did Not Enjoy
67,Did Not Enjoy
68,Did Not Enjoy
69,Did Not Enjoy
70,Did Not Enjoy
71,Did Not Enjoy
72,Enjoyed
73,Enjoyed
74,Did Not Enjoy
75,Enjoyed
76,Did Not Enjoy
77,Did Not Enjoy
78,Did Not Enjoy
79,Did Not Enjoy
80,Did Not Enjoy
81,Enjoyed
82,Did Not Enjoy
83,Did Not Enjoy
84,Did Not Enjoy
85,Did Not Enjoy
86,Did Not Enjoy
87,Best Concert Ever
88,Did Not Enjoy
89,Enjoyed
90,Did Not Enjoy
91,Enjoyed
92,Enjoyed
93,Enjoyed
94,Enjoyed
95,Enjoyed
96,Did Not Enjoy
97,Enjoyed
98,Did Not Enjoy
99,Did Not Enjoy
100,Did Not Enjoy
101,Enjoyed
102,Did Not Enjoy
103,Enjoyed
104,Worst Concert Ever
105,Did Not Enjoy
106,Enjoyed
107,Did Not Enjoy
108,Worst Concert Ever
109,Enjoyed
110,Did Not Enjoy
111,Enjoyed
112,Did Not Enjoy
113,Did Not Enjoy
114,Enjoyed
115,Did Not Enjoy
116,Enjoyed
117,Enjoyed
118,Did Not Enjoy
119,Enjoyed
120,Enjoyed
121,Did Not Enjoy
122,Enjoyed
123,Did Not Enjoy
124,Enjoyed
125,Did Not Enjoy
126,Enjoyed
127,Enjoyed
128,Enjoyed
129,Did Not Enjoy
130,Did Not Enjoy
131,Did Not Enjoy
132,Did Not Enjoy
133,Enjoyed
134,Enjoyed
135,Did Not Enjoy
136,Enjoyed
137,Did Not Enjoy
138,Did Not Enjoy
139,Enjoyed
140,Enjoyed
141,Did Not Enjoy
142,Did Not Enjoy
143,Enjoyed
